1360,5,3,1,1,149919
4272,5,3,1,1,424998
3592,2,3,1,2,266746
966,4,2,3,3,244020
4926,1,2,1,3,636056
3944,1,1,2,4,93262
3671,1,2,4,4,448722
3419,2,1,3,2,594893
630,2,1,4,4,652878
2185,3,1,1,4,340375
1269,1,2,3,4,653685
2891,4,3,2,1,127123
2933,4,2,1,4,849947
1684,1,1,4,2,399355
3885,1,1,2,3,481838
4617,1,2,1,4,853032
3404,2,1,2,3,208964
974,2,1,1,4,905742
1582,2,2,3,2,989305
3058,5,2,1,1,218767
2547,4,2,3,2,996357
3247,4,1,1,1,709789
1475,3,1,1,4,709966
2306,2,3,4,4,447694
689,5,3,2,1,688668
3234,5,2,2,2,527032
3505,4,3,2,2,745494
2399,2,1,1,1,513179
1767,3,3,1,4,948212
2028,2,1,1,1,206547
3702,1,2,3,4,902609
4056,2,2,3,1,727090
4390,1,1,4,4,202185
1146,1,3,1,1,725371
3388,3,2,2,3,105746
2935,4,2,2,4,959507
1100,2,3,4,2,748213
2863,1,3,2,1,921627
2561,2,1,4,2,873250
741,4,3,1,1,218393
2541,4,3,2,2,333453
3324,5,3,1,2,986192
3112,4,1,3,1,340320
1863,3,1,2,1,643167
1978,1,2,3,2,641880
3056,5,1,2,2,396872
1275,3,2,1,2,270084
4514,2,3,4,4,976920
534,1,2,1,4,771782
3652,4,2,1,3,845016
2455,1,3,1,4,698843
2085,2,2,2,4,405446
4443,5,1,4,1,958840
3573,5,1,3,3,593118
1521,5,1,1,3,266897
3961,4,1,2,4,826522
3113,3,2,3,1,913498
4343,3,2,1,1,840023
2000,1,3,3,3,143878
661,4,2,1,1,175407
4797,5,2,3,2,691157
2481,5,2,3,4,307716
1495,2,3,4,2,857827
3842,2,1,4,3,66738
4298,5,2,1,3,183703
1775,5,3,2,1,723265
1516,4,3,4,1,593344
837,3,3,3,3,815034
1378,2,1,4,3,560241
1576,3,2,4,2,433800
4493,4,3,1,2,689604
879,5,1,4,1,740807
992,3,3,4,2,628706
2562,5,3,3,1,873622
4384,5,3,4,1,76014
564,1,3,3,4,778359
3068,3,3,4,1,813277
2527,3,1,4,2,231350
3195,5,2,2,3,961995
1995,4,2,4,3,838212
891,1,2,3,2,534859
4974,5,2,3,3,764618
4061,2,1,1,1,540339
2778,2,1,1,3,92192
3599,1,1,2,2,941307
700,4,3,3,3,411273
3604,5,3,3,1,93923
2954,3,3,3,1,663484
4145,1,2,2,2,576683
1304,4,3,3,2,414593
3231,3,2,1,2,433891
3273,2,3,2,4,802744
2070,2,2,1,4,458995
3190,3,3,1,1,645316
4340,1,3,2,4,997226
1528,2,1,4,4,450327
1002,5,3,4,3,816751
4993,3,3,1,4,715344
1370,3,1,4,3,929608
4988,2,2,3,2,777688
706,1,1,2,3,305315
1984,5,1,1,3,339068
1363,1,2,3,2,495919
3290,4,3,4,2,344721
1063,4,2,3,1,188783
4691,2,3,4,1,659836
2257,2,3,1,1,307288
2178,2,2,3,1,543085
3742,4,1,2,3,545187
1559,1,2,1,3,699381
2222,1,3,3,1,285835
3814,2,2,3,4,971600
3657,5,2,4,1,902987
3125,1,3,1,4,401992
3229,4,1,1,2,256084
2097,3,2,1,3,844686
3560,3,3,1,3,437554
3193,3,3,4,4,803315
4127,5,2,2,1,520336
1863,2,1,1,3,973469
2481,4,2,4,4,258072
2163,5,1,2,2,298029
2029,4,1,2,2,259047
2538,4,1,4,3,415169
3802,2,1,1,1,180509
2737,3,2,2,4,812072
1806,2,3,1,3,345107
4529,5,3,1,2,577561
3175,5,3,3,1,589618
1782,5,3,1,4,202566
1209,2,3,3,3,650710
4913,4,3,2,4,958521
4248,4,2,4,1,53212
1163,1,1,3,1,282131
2498,5,3,4,2,526657
3945,4,2,2,1,661882
4243,1,3,1,3,182152
1995,4,3,2,4,344819
3804,5,1,4,1,72007
4263,3,1,2,1,688093
2353,5,1,1,3,394785
1791,2,3,2,4,670103
4081,4,3,1,4,883247
3957,4,3,3,2,919914
2136,2,1,4,2,837071
4196,2,2,1,4,375737
3499,3,3,1,3,562164
3652,4,3,2,3,128038
1198,4,3,3,2,406043
2660,3,2,1,1,840168
4597,1,3,3,3,827794
1354,3,2,3,1,66473
3974,5,3,2,3,703059
2207,4,2,1,4,175801
3277,2,3,2,2,944030
2233,5,1,4,1,660911
4010,4,1,4,1,558252
